Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter
1675727357.0396554,58,85759,0,GPS1_Frame,42.337124333333335,-71.0904725,15.4,327785.24744854117,4689324.247883246,19,T
1675727358.045156,59,85760,0,GPS1_Frame,42.33712366666667,-71.09047149999999,15.9,327785.32801288046,4689324.171829675,19,T
1675727359.050351,60,85761,0,GPS1_Frame,42.337122833333325,-71.09047033333333,16.6,327785.42185295856,4689324.07693149,19,T
1675727360.055048,61,85762,0,GPS1_Frame,42.33712216666666,-71.0904695,17.0,327785.4886865963,4689324.001215473,19,T
1675727361.0384007,62,85763,0,GPS1_Frame,42.337121499999995,-71.09046883333333,17.5,327785.54178952985,4689323.925837009,19,T
1675727362.0441854,63,85764,0,GPS1_Frame,42.337120999999996,-71.0904685,17.7,327785.56788602716,4689323.869640712,19,T
1675727363.0460103,64,85765,0,GPS1_Frame,42.337120500000005,-71.0904685,17.9,327785.5665211113,4689323.814119519,19,T
1675727364.0538025,65,85766,0,GPS1_Frame,42.33712033333333,-71.09046883333333,18.0,327785.53860472556,4689323.796287556,19,T
1675727365.0561101,66,85767,0,GPS1_Frame,42.337120000000006,-71.09046916666667,18.2,327785.5102333697,4689323.759948531,19,T
1675727366.062859,67,85768,0,GPS1_Frame,42.337118833333335,-71.0904695,18.5,327785.4795871527,4689323.631074182,19,T
1675727367.0493646,68,85769,0,GPS1_Frame,42.33711816666667,-71.09047000000001,18.7,327785.4365751451,4689323.5580585785,19,T
1675727368.0505066,69,85770,0,GPS1_Frame,42.33711766666667,-71.09047033333333,18.9,327785.4077488155,4689323.503212488,19,T
1675727369.0555806,70,85771,0,GPS1_Frame,42.337117166666665,-71.09047016666666,19.2,327785.42011460505,4689323.447353743,19,T
1675727370.0600643,71,85772,0,GPS1_Frame,42.337117166666665,-71.090471,19.1,327785.3514610703,4689323.449041501,19,T
1675727371.0440915,72,85773,0,GPS1_Frame,42.33711733333333,-71.09047216666666,18.9,327785.25580109516,4689323.469911428,19,T
1675727372.049008,73,85774,0,GPS1_Frame,42.33711783333333,-71.090473,18.7,327785.1885124793,4689323.5271203825,19,T
1675727373.0544312,74,85775,0,GPS1_Frame,42.337118499999995,-71.09047433333333,18.4,327785.0804867189,4689323.603849059,19,T
1675727374.0555427,75,85776,0,GPS1_Frame,42.3371195,-71.09047600000001,18.0,327784.9459094938,4689323.718266973,19,T
1675727375.0436733,76,85777,0,GPS1_Frame,42.33712033333333,-71.09047816666666,17.6,327784.76968518365,4689323.815190482,19,T
1675727376.047998,77,85778,0,GPS1_Frame,42.337120999999996,-71.09048066666666,17.2,327784.5655444901,4689323.894282037,19,T
1675727377.0485094,78,85779,0,GPS1_Frame,42.337121833333335,-71.09048333333334,16.7,327784.3481280685,4689323.99221822,19,T
1675727378.0549574,79,85780,0,GPS1_Frame,42.337122833333325,-71.09048583333333,16.1,327784.1448973359,4689324.108323918,19,T
1675727379.0548756,80,85781,0,GPS1_Frame,42.337123999999996,-71.09048833333333,15.6,327783.9421215862,4689324.242936687,19,T
1675727380.0592198,81,85782,0,GPS1_Frame,42.33712533333334,-71.09049083333333,15.2,327783.73980082106,4689324.396056527,19,T
1675727381.063065,82,85783,0,GPS1_Frame,42.33712666666667,-71.09049350000001,14.8,327783.5237493601,4689324.549513928,19,T
1675727382.0449407,83,85784,0,GPS1_Frame,42.33712766666666,-71.09049516666667,14.5,327783.38917217805,4689324.663931872,19,T
1675727383.0494955,84,85785,0,GPS1_Frame,42.337128833333324,-71.090497,14.2,327783.2413192767,4689324.797194439,19,T
1675727384.050601,85,85786,0,GPS1_Frame,42.33712983333333,-71.09049816666668,14.1,327783.1479342175,4689324.910599722,19,T
1675727385.0566158,86,85787,0,GPS1_Frame,42.337131,-71.090499,13.8,327783.08246554935,4689325.041836955,19,T
1675727386.042663,87,85788,0,GPS1_Frame,42.337132000000004,-71.0904995,13.6,327783.04400330747,4689325.153892014,19,T
1675727387.0535629,88,85789,0,GPS1_Frame,42.33713233333333,-71.09049933333334,13.6,327783.0586439683,4689325.190568585,19,T
1675727388.0588582,89,85790,0,GPS1_Frame,42.33713250000001,-71.09049883333334,13.6,327783.1002910588,4689325.208062982,19,T
1675727389.0443819,90,85791,0,GPS1_Frame,42.337132833333335,-71.09049816666668,13.5,327783.1561238308,4689325.243726884,19,T
1675727390.052744,91,85792,0,GPS1_Frame,42.337132833333335,-71.09049766666666,13.5,327783.1973159403,4689325.242714217,19,T
1675727391.058996,92,85793,0,GPS1_Frame,42.337133166666675,-71.09049683333333,13.4,327783.26687941456,4689325.2780405665,19,T
1675727392.0604239,93,85794,0,GPS1_Frame,42.3371335,-71.090496,13.3,327783.33644288813,4689325.313366914,19,T
1675727393.0611475,94,85795,0,GPS1_Frame,42.33713383333334,-71.09049516666667,13.2,327783.4060063589,4689325.348693266,19,T
1675727394.0601683,95,85796,0,GPS1_Frame,42.337134166666665,-71.09049433333333,13.1,327783.47556983307,4689325.384019615,19,T
1675727395.0414855,96,85797,0,GPS1_Frame,42.337134500000005,-71.09049333333334,13.1,327783.55886400514,4689325.4190084115,19,T
1675727396.0461447,97,85798,0,GPS1_Frame,42.33713483333333,-71.09049216666668,13.2,327783.65588887903,4689325.453659653,19,T
1675727397.04878,98,85799,0,GPS1_Frame,42.33713533333333,-71.090491,13.2,327783.7533687331,4689325.50681796,19,T
1675727398.052305,99,85800,0,GPS1_Frame,42.33713550000001,-71.09048933333334,13.8,327783.8911307377,4689325.5219494775,19,T
1675727399.0554864,100,85801,0,GPS1_Frame,42.33713533333333,-71.09048733333334,14.9,327784.05544419424,4689325.499391754,19,T
1675727400.0653477,101,85802,0,GPS1_Frame,42.33713566666667,-71.09048550000001,15.6,327784.20739187853,4689325.532692788,19,T
1675727401.0522568,102,85803,0,GPS1_Frame,42.337135833333335,-71.09048383333334,16.5,327784.3451538833,4689325.547824311,19,T
1675727402.0539646,103,85804,0,GPS1_Frame,42.337136166666674,-71.09048283333333,17.1,327784.4284480507,4689325.582813119,19,T
1675727403.0575235,104,85805,0,GPS1_Frame,42.3371365,-71.09048233333333,17.7,327784.4705501102,4689325.618814585,19,T
1675727404.0610335,105,85806,0,GPS1_Frame,42.33713683333334,-71.09048200000001,18.2,327784.49892146286,4689325.655153608,19,T
1675727405.0400803,106,85807,0,GPS1_Frame,42.33713683333334,-71.090481,18.8,327784.58130567847,4689325.653128287,19,T
1675727406.0454926,107,85808,0,GPS1_Frame,42.337137,-71.09048,19.3,327784.6641448708,4689325.669610031,19,T
1675727407.0544996,108,85809,0,GPS1_Frame,42.33713683333334,-71.09047883333332,19.7,327784.759804812,4689325.648740094,19,T
1675727408.056999,109,85810,0,GPS1_Frame,42.33713683333334,-71.09047749999999,20.0,327784.86965043424,4689325.646039669,19,T
1675727409.0559099,110,85811,0,GPS1_Frame,42.337137500000004,-71.09047699999999,19.6,327784.91266243684,4689325.71905527,19,T
1675727410.055107,111,85812,0,GPS1_Frame,42.337138833333334,-71.09047683333333,18.8,327784.93003293034,4689325.866774234,19,T
1675727411.0606263,112,85813,0,GPS1_Frame,42.337140166666664,-71.09047633333333,18.1,327784.9748648264,4689326.013818092,19,T
1675727412.0477595,113,85814,0,GPS1_Frame,42.337143,-71.09047749999999,16.8,327784.8864844755,4689326.330801062,19,T
