time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.Latitude,.Longitude,.HDOP,.Altitude,.UTM_easting,.UTM_northing,.Zone,.Letter
2023/02/03/10:44:58.768041,114,6749,0,GPS_Frame 1,42.3387985,-71.08869,1.36,12.1,327936.66370887356,4689506.542772183,19,T
2023/02/03/10:44:59.856719,115,6750,0,GPS_Frame 1,42.33879916666667,-71.088691,1.11,12.0,327936.58314523665,4689506.618824049,19,T
2023/02/03/10:45:00.940278,116,6751,0,GPS_Frame 1,42.33880166666666,-71.08869683333334,1.11,12.3,327936.1094023853,4689506.908234385,19,T
2023/02/03/10:45:02.025867,117,6752,0,GPS_Frame 1,42.33880166666666,-71.08869800000001,1.06,12.3,327936.0132900167,4689506.910595254,19,T
2023/02/03/10:45:03.109830,118,6753,0,GPS_Frame 1,42.33880216666667,-71.08870066666667,1.06,12.5,327935.79496840795,4689506.971512734,19,T
2023/02/03/10:45:04.189522,119,6754,0,GPS_Frame 1,42.33880183333334,-71.08870116666667,1.06,12.5,327935.7528681907,4689506.935510403,19,T
2023/02/03/10:45:05.276757,120,6755,0,GPS_Frame 1,42.33880216666667,-71.0887025,1.06,12.5,327935.6439346861,4689506.975222679,19,T
2023/02/03/10:45:06.357853,121,6756,0,GPS_Frame 1,42.338802,-71.08870316666666,1.06,12.5,327935.588558732,4689506.958064683,19,T
2023/02/03/10:45:07.439939,122,6757,0,GPS_Frame 1,42.33880183333334,-71.08870366666666,1.06,12.5,327935.54691311583,4689506.94056942,19,T
2023/02/03/10:45:08.530393,123,6758,0,GPS_Frame 1,42.33880166666666,-71.08870416666667,1.06,12.4,327935.50526749715,4689506.923074156,19,T
2023/02/03/10:45:09.612900,124,6759,0,GPS_Frame 1,42.338802,-71.0887055,1.29,12.4,327935.3963339957,4689506.962786437,19,T
2023/02/03/10:45:10.692393,125,6760,0,GPS_Frame 1,42.338802,-71.08870583333334,1.06,12.3,327935.3688733197,4689506.963460973,19,T
2023/02/03/10:45:11.775459,126,6761,0,GPS_Frame 1,42.33880166666666,-71.08870616666667,1.06,12.2,327935.34050343814,4689506.927121376,19,T
2023/02/03/10:45:12.853254,127,6762,0,GPS_Frame 1,42.33880183333334,-71.08870733333333,1.06,12.2,327935.2448456704,4689506.947989323,19,T
