Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,imu.header.seq,imu.header.stamp.secs,imu.header.stamp.nsecs,imu.header.frame_id,imu.orientation.x,imu.orientation.y,imu.orientation.z,imu.orientation.w,imu.orientation_covariance,imu.angular_velocity.x,imu.angular_velocity.y,imu.angular_velocity.z,imu.angular_velocity_covariance,imu.linear_acceleration.x,imu.linear_acceleration.y,imu.linear_acceleration.z,imu.linear_acceleration_covariance,mag_field.header.seq,mag_field.header.stamp.secs,mag_field.header.stamp.nsecs,mag_field.header.frame_id,mag_field.magnetic_field.x,mag_field.magnetic_field.y,mag_field.magnetic_field.z,mag_field.magnetic_field_covariance,VNYMR
1679683297.8299813,13571,1679683297,796947717,IMU1_Frame,0,0,0,,0.05913626986291215,0.00042993194426912094,-0.9687278622922192,0.2409751969891744,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.001596,0.00145,0.00067,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.144,-0.222,-9.753,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.4974,0.2506,0.5133,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,-151.970,+006.591,+001.596,-00.4974,+00.2506,+00.5133,+01.144,-00.222,-09.753,+00.001596,+00.001450,+00.000677*69\r\n'"
1679683297.8318446,13572,1679683297,821869373,IMU1_Frame,0,0,0,,0.05913416312747038,0.0004389017325692503,-0.9687257555567773,0.2409841667774746,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000259,2.3e-05,0.00089,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.099,-0.247,-9.783,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.4931,0.2538,0.5133,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,-151.969,+006.591,+001.595,-00.4931,+00.2538,+00.5133,+01.099,-00.247,-09.783,+00.000259,+00.000023,+00.000892*60\r\n'"
1679683297.8738399,13573,1679683297,846733808,IMU1_Frame,0,0,0,,0.05913206014164102,0.00044735545954409893,-0.9687257516897508,0.24098468281122212,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000734,0.000525,-0.0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.137,-0.267,-9.804,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.4933,0.2438,0.5147,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,-151.969,+006.591,+001.594,-00.4933,+00.2438,+00.5147,+01.137,-00.267,-09.804,+00.000734,+00.000525,-00.000002*6C\r\n'"
1679683297.9178755,13574,1679683297,871798276,IMU1_Frame,0,0,0,,0.059132067940460394,0.00044632341033305767,-0.9687299575183672,0.24096777532060312,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.001399,-2.3e-05,0.00039,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.115,-0.25,-9.784,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.4911,0.246,0.5096,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,-151.971,+006.591,+001.594,-00.4911,+00.2460,+00.5096,+01.115,-00.250,-09.784,+00.001399,-00.000023,+00.000391*6E\r\n'"
1679683297.9179075,13575,1679683297,896757602,IMU1_Frame,0,0,0,,0.05911517101918676,0.0004415747710099834,-0.9687329748392918,0.24095979960588873,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.001292,0.000183,-0.00041,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.118,-0.248,-9.742,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.4975,0.2462,0.512,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,-151.972,+006.589,+001.594,-00.4975,+00.2462,+00.5120,+01.118,-00.248,-09.742,+00.001292,+00.000183,-00.000411*68\r\n'"
1679683297.9619524,13576,1679683297,921923875,IMU1_Frame,0,0,0,,0.059115174870402645,0.0004410588938070902,-0.9687350775733392,0.24095134580672187,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000208,-9e-05,0.00023,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.092,-0.27,-9.796,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.4943,0.2461,0.5134,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,-151.973,+006.589,+001.594,-00.4943,+00.2461,+00.5134,+01.092,-00.270,-09.796,+00.000208,-00.000090,+00.000231*6E\r\n'"
1679683297.9620016,13577,1679683297,946865320,IMU1_Frame,0,0,0,,0.05910883463965799,0.00042945720410354424,-0.9687397437589566,0.2409341613301916,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000306,0.000543,0.00077,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.134,-0.279,-9.76,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.4975,0.245,0.5108,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,-151.975,+006.588,+001.595,-00.4975,+00.2450,+00.5108,+01.134,-00.279,-09.760,+00.000306,+00.000543,+00.000770*6F\r\n'"
1679683298.009904,13578,1679683297,971946001,IMU1_Frame,0,0,0,,0.059113036122626264,0.00041306536448679383,-0.9687376485317696,0.2409415834896656,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.00014,-0.000643,0.00122,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.117,-0.26,-9.756,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.4931,0.2538,0.5146,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,-151.974,+006.588,+001.597,-00.4931,+00.2538,+00.5146,+01.117,-00.260,-09.756,-00.000140,-00.000643,+00.001225*62\r\n'"
1679683298.0099435,13579,1679683297,996789693,IMU1_Frame,0,0,0,,0.059102468381490574,0.0004214660929368584,-0.9687296908672349,0.24097615365388186,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.000275,2.3e-05,-0.0006,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.1,-0.274,-9.762,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.4975,0.2484,0.5171,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,-151.970,+006.587,+001.596,-00.4975,+00.2484,+00.5171,+01.100,-00.274,-09.762,-00.000275,+00.000023,-00.000607*6E\r\n'"
1679683298.0539794,13580,1679683298,22008419,IMU1_Frame,0,0,0,,0.05910247205722562,0.0004209503265861711,-0.9687317937439984,0.2409676998833727,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.001026,9.2e-05,-0.00091,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.101,-0.27,-9.757,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.4932,0.2505,0.5184,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,-151.971,+006.587,+001.596,-00.4932,+00.2505,+00.5184,+01.101,-00.270,-09.757,+00.001026,+00.000092,-00.000919*64\r\n'"
