time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.Latitude,.Longitude,.HDOP,.Altitude,.UTM_easting,.UTM_northing,.UTC,.Zone,.Letter
2023/03/24/14:46:04.341358,0,67564,0,GPS1_FRAME,42.339034999999996,-71.09025,1.2,16.3,327808.7932893513,4689535.962291899,184604.0,19,T
2023/03/24/14:46:05.343281,0,67565,0,GPS1_FRAME,42.33909833333334,-71.09027999999999,1.2,15.8,327806.4947175961,4689543.055732167,184605.0,19,T
2023/03/24/14:46:06.343120,0,67566,0,GPS1_FRAME,42.33916333333333,-71.09031499999999,1.2,15.0,327803.7887927443,4689550.344369955,184606.0,19,T
2023/03/24/14:46:07.342144,0,67567,0,GPS1_FRAME,42.33922833333333,-71.09034666666666,1.2,14.7,327801.3574789907,4689557.626258346,184607.0,19,T
2023/03/24/14:46:08.342685,0,67568,0,GPS1_FRAME,42.33929333333334,-71.09037833333333,1.2,14.5,327798.9261708362,4689564.908147808,184608.0,19,T
2023/03/24/14:46:09.342352,0,67569,0,GPS1_FRAME,42.33935499999999,-71.09041166666665,1.2,14.6,327796.3484665145,4689571.823272371,184609.0,19,T
2023/03/24/14:46:10.343874,0,67570,0,GPS1_FRAME,42.339418333333334,-71.090445,1.0,14.7,327793.7753176258,4689578.923468813,184610.0,19,T
2023/03/24/14:46:11.345211,0,67571,0,GPS1_FRAME,42.33948166666667,-71.090475,1.0,14.8,327791.47677830275,4689586.016915322,184611.0,19,T
2023/03/24/14:46:12.345714,0,67572,0,GPS1_FRAME,42.33953833333333,-71.0905,1.0,15.3,327789.5719494831,4689592.359953148,184612.0,19,T
2023/03/24/14:46:13.348439,0,67573,0,GPS1_FRAME,42.33958833333333,-71.09051666666666,1.0,15.2,327788.3354327204,4689597.945830659,184613.0,19,T
2023/03/24/14:46:14.346005,0,67574,0,GPS1_FRAME,42.339635,-71.090525,1.0,15.2,327787.7763260212,4689603.144688857,184614.0,19,T
2023/03/24/14:46:15.347109,0,67575,0,GPS1_FRAME,42.33967500000001,-71.09052833333334,1.0,15.1,327787.6109245945,4689607.593137357,184615.0,19,T
2023/03/24/14:46:16.348094,0,67576,0,GPS1_FRAME,42.33970833333333,-71.09053333333333,1.0,15.0,327787.29002184083,4689611.304678668,184616.0,19,T
2023/03/24/14:46:17.348128,0,67577,0,GPS1_FRAME,42.339736666666674,-71.09054333333333,1.0,15.0,327786.5435651912,4689614.471134843,184617.0,19,T
2023/03/24/14:46:18.348843,0,67578,0,GPS1_FRAME,42.33977166666667,-71.090565,1.0,15.0,327784.854200872,4689618.40150385,184618.0,19,T
